% # columns="iteration, evaluation, void, void, void, xmean", seed=542054, Mon Mar 28 14:03:40 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 11 0 0 0 -0.10203244003179386 -0.09419090495431899 -0.1588239354589849 -0.03235688236209029 -0.015092569528351793 -0.1236795526919691 -0.008942509698472503 -0.09602392842786488 0.019180551836354184 -0.09246223111496112 -0.06002665842825988 0.044033304525024325 -0.11239484591122353 -0.2333517789607123
2 22 0 0 0 -0.19822769334173665 -0.1973586430323325 -0.00964022076863022 -0.10107585941100818 0.16757548814752937 -0.2682336920780235 0.20087127046410846 -0.12915469027104434 -0.01764250646980113 -0.1709178553718118 -0.092099146372133 0.21242930752240152 -0.08754390928116865 -0.2542549193418547
3 33 0 0 0 -0.017571132123054445 -0.23917560681202815 -0.05867982817690894 -0.03206877918326377 0.3510611267028964 -0.3010239383182407 0.1367349008086624 -0.09097281439581426 0.06597418029363324 -0.1308616573682409 0.027427942540907038 0.21797352311652765 -0.05040509342532198 -0.2624500575305852
4 44 0 0 0 -0.019912395283365768 -0.40411904500364204 0.1576343997670071 -0.02873258899907183 0.6228966858717658 -0.2948026777533673 0.2726419679407531 -0.07468197578330743 0.058083156736922374 -0.11614604479158099 0.019095442139211605 0.3402234786437894 -0.11091142630928029 -0.3619150139715466
5 55 0 0 0 0.008820857613399215 -0.4189937734720623 0.24428523624407883 -0.09377279111630431 0.760076786123834 -0.2382267438370338 0.29402019984986394 -0.032383230411480585 0.07201183876962663 -0.2963672942145188 0.03557941141593339 0.30567398400934725 0.05991511273526064 -0.2481300316042209
6 66 0 0 0 0.058774884413729946 -0.6256463296364353 0.34871495778038886 0.01927443252288151 0.9928454931002532 -0.24098575574751738 0.4052218584660778 0.004203625099834032 0.11070270837279808 -0.26607448363378583 0.08346917554429988 0.37306154669413216 -0.0770988350319337 -0.30691524131175435
7 77 0 0 0 0.04083814712758518 -0.818590879255686 0.5003524861048851 0.022949711855679556 1.298531325838271 -0.20650202690621713 0.5475331878826212 -0.049435540121420485 0.23593520878524388 -0.2857450643447896 0.17227387850077827 0.31744049389227585 -0.032505821166498194 -0.26419671123828853
8 88 0 0 0 0.2221289422488466 -0.7736130561863408 0.8190790054015583 -0.04134453633599479 1.41410238083277 -0.4293884895997221 0.6465662763977688 -0.049378148649786194 0.1917480276243337 -0.31801764944912164 0.24565467460260004 0.2636708337322066 -0.15215145921751316 -0.23236237214682315
9 99 0 0 0 0.277742105853129 -0.5691431781711991 0.8063709014494448 -0.17149342071668217 1.6216994820905448 -0.6865317937840597 0.7900460148598614 0.0016666468675063592 0.05009670191251653 -0.22400816080736258 0.19412285947018676 0.17301947984934588 -0.12012010635894396 -0.3150252402650997
10 110 0 0 0 0.6419267271392772 -0.6969909709609188 1.2449566382372332 -0.12906318594403332 2.017383860249424 -0.8286971092069431 0.7024448987317038 -0.22405130170188417 0.09046308546100934 -0.3362616669732207 0.22470543103234822 0.10913690998119487 0.14105089713577354 -0.36372348133871857
11 121 0 0 0 0.371862958694833 -0.2637140112954989 1.1878730185233988 -0.14267292185976402 2.482083960149124 -0.4440912755110378 0.6337818667372772 -0.38581854175850655 0.02356953131272077 -0.06767713688042509 0.36889372722788527 -0.012096847239964736 -0.034468987930150685 -0.29586350527891525
12 132 0 0 0 0.39643518989831794 -0.15995959535907883 1.7932002155803959 -0.1489192271194739 2.799832051191993 -0.23240666876254568 0.37901351962220026 -0.8138397953494766 0.12064594146307338 0.2334356779266662 0.5736431073322302 -0.01616506638814907 -0.08077335032730751 -0.07349924424223378
13 143 0 0 0 0.5622538082668515 0.03298232246137117 2.5519230184109487 0.001655027158993544 4.018150192783516 -0.2507462052406127 0.676088107453234 -0.19847157653670444 0.008547163739221028 0.08497847627354588 0.3374525511384929 -0.04506775822065941 -0.2716743784454687 -0.5581742248021262
14 154 0 0 0 1.0283021297015513 -0.44622323508818507 2.630567764120074 0.105670698593559 4.796940628265506 -0.5032900540797959 1.1829585257132949 -0.21812574808690802 -0.20843082020731624 0.22554965777543304 0.6244501000743086 -0.4179102498999607 0.2448684664239863 -0.9264692256451641
15 165 0 0 0 1.0894334698380965 -1.4844349294299422 3.013881294205016 -0.1337036322923698 6.135599564521783 -0.24967975243528218 1.5010823501012964 -0.31820173366086973 0.13700809073705833 0.32904217405993275 0.7300421765877803 -0.4317173738282756 0.2191900743601043 -1.1118963711614804
16 176 0 0 0 1.6335244543875587 -1.6650476217718668 4.170387890626262 -0.4614241252519741 7.444692995414152 0.16825152065648857 0.7724899195271163 -0.4967005290883251 -0.04155335665610471 0.260381993723737 1.3641050910352 -0.4267757405766775 1.212547865025734 -0.14128070895847622
17 187 0 0 0 1.4639203392688411 -1.583866203747712 4.298541382108454 -0.2883775620854367 7.817609219946285 0.6957321036932667 0.9151770696557656 -0.9810527914901103 1.081222342654553 0.37821571658320224 0.8907458746520093 -0.23983395795946746 1.7620786318292307 -0.6475063716655378
18 198 0 0 0 1.6138241248628897 -2.536102080058288 4.570273443121065 0.3394528758467496 8.153013193349752 0.5070456175716304 2.154692792738577 -0.9743936799504143 1.528113559368625 -0.37737262460412185 0.6303645076698953 0.09884867817645301 1.9639157014035278 -1.3693048449838787
19 209 0 0 0 2.375941739176525 -2.958829402434558 5.499206834496026 0.2766248828940859 8.616333936333842 2.3375586045779504 2.194068800808276 -1.3684784996249564 2.182565073457431 0.12240062541593033 0.9089553641563926 0.21928462726037304 1.9115424712298323 -1.499816775807939
